Date,Close,High,Low,Open,Volume
2022-06-01,729.6859741210938,732.5459195467715,721.4937796234946,725.1778262645869,10102092.0
2022-06-02,726.8744506835938,728.8134288781482,720.5243089310117,728.1347746754705,10949759.0
2022-06-03,721.5906982421875,733.9032211851612,718.5853058140304,733.079179150223,8563791.0
2022-06-06,723.9659423828125,728.0378081953103,717.0340720607678,717.6158009899333,9107831.0
2022-06-07,712.8167724609375,720.2818494406395,710.0052307501045,718.3913340952802,9938912.0
2022-06-08,707.2423095703125,718.3914343956155,704.285379603403,714.1256586193753,9369224.0
2022-06-09,710.3931274414062,711.7019140377402,700.1165668036762,702.8795870283446,7444368.0
2022-06-10,698.0321044921875,706.078851639945,696.0931264241536,702.637177403768,7990818.0
2022-06-13,667.008544921875,680.8722281343585,661.2885351843352,680.8237655107365,16622521.0
2022-06-14,664.584716796875,673.4555649134384,659.882718764414,661.579324533042,13348598.0
2022-06-15,666.2813720703125,675.1036990535133,665.1664359560659,666.5237443409819,9199591.0
2022-06-16,657.7982788085938,678.6907546797228,655.6653911989504,678.642292064872,13237239.0
2022-06-17,665.8934326171875,671.5165156204484,649.5091055799994,650.7694293254898,16335613.0
2022-06-20,665.02099609375,666.8145270872853,656.925727382678,665.0694587095106,10981042.0
2022-06-21,674.8612670898438,686.3982098224079,667.5900996129114,669.4806149914964,13319648.0
2022-06-22,665.6511840820312,677.5759472015187,664.1969504501833,673.0677992736229,6838249.0
2022-06-23,677.8182983398438,684.4592747157236,666.0389826199747,669.1413594391051,14960412.0
2022-06-24,691.6819458007812,693.4270141836479,684.9924479647273,689.2097606606442,10856736.0
2022-06-27,695.4629516601562,706.6120758203112,694.2510903384002,706.6120758203112,8285225.0
2022-06-28,688.6281127929688,695.4145366594939,685.428810519048,689.3552296358107,8339931.0
2022-06-29,681.3084716796875,685.1379654966759,679.5634031172262,683.4413595551042,9570557.0
2022-06-30,685.6226806640625,690.1792911178462,679.8057462565725,681.3084424772575,11970404.0
2022-07-01,682.42333984375,685.1863598613265,672.922300179079,681.987057953366,9884899.0
2022-07-04,698.1290283203125,699.0985173523768,683.3443205813325,683.3443205813325,8303732.0
2022-07-05,697.4989624023438,709.8114861171288,696.1901165806175,700.9890995811066,11460367.0
2022-07-06,703.800537109375,709.5690083769555,699.9710438024662,700.940532782802,12163533.0
2022-07-07,719.3609619140625,721.2999402480627,710.6355594110618,713.4955642882966,10374018.0
2022-07-08,732.6429443359375,734.3880129281133,721.8331169121179,728.3771685124674,9797700.0
2022-07-11,746.0218505859375,748.0092913747472,731.9642588594968,731.9642588594968,12440573.0
2022-07-12,736.7147216796875,744.0343518637645,734.5818340250981,741.9983894409193,10219829.0
2022-07-13,730.2191162109375,741.416702166513,727.019814391189,741.416702166513,8674121.0
2022-07-14,729.4435424804688,736.3268906661154,725.9533465996338,727.1167452265788,7044542.0
2022-07-15,728.2802124023438,735.8422154298855,721.4937888081287,730.2676531917803,6358018.0
2022-07-18,748.445556640625,749.5604927322485,734.7272627299236,736.0845710872986,8045363.0
2022-07-19,756.8316650390625,758.1404516124493,743.7435626135278,744.3736950043406,12825591.0
2022-07-20,759.2068481445312,765.4600643249173,756.4922906507037,765.4116017072074,8152179.0
2022-07-21,762.0183715820312,764.8783760326025,756.2983626808885,760.9519573265909,8312338.0
2022-07-22,775.6397094726562,779.3722778518924,765.0237924467547,765.0237924467547,12267898.0
2022-07-25,776.4637451171875,792.8480733198605,772.7796396673559,778.4996482991166,21034148.0
2022-07-26,772.0040893554688,778.3057679410964,767.49600094796,777.1423692907056,7374145.0
2022-07-27,776.0759887695312,779.2752908174458,770.4045014651789,770.7437989653683,9536564.0
2022-07-28,789.7457275390625,790.6182913212741,780.7294915388348,782.3291720819182,11124518.0
2022-07-29,793.6236572265625,798.2772516798434,783.347097683542,795.611156978569,11095993.0
