Date,Close,High,Low,Open,Volume,DailySentiment,Symbol
2022-06-01,684.5987548828125,695.9816196119223,681.2479272737561,691.3988789336547,3749781.0,0.19999999999999996,BHARTIARTL
2022-06-02,685.8799438476562,686.8654743194104,673.1665767012261,678.9319660521912,3466993.0,0.35999999999999993,BHARTIARTL
2022-06-03,676.5667114257812,690.6597860281377,675.334798258582,686.9640465265402,6673615.0,0.48799999999999993,BHARTIARTL
2022-06-06,673.0680541992188,679.8189139349697,666.7113705647631,672.3289063382822,6407024.0,0.5903999999999999,BHARTIARTL
2022-06-07,675.384033203125,677.3058296902686,663.5576673154811,668.337526286275,8349903.0,0.27232,BHARTIARTL
2022-06-08,653.702392578125,677.8478907130699,650.8936546109866,672.6245909020348,13904149.0,0.017856000000000066,BHARTIARTL
2022-06-09,666.5635375976562,669.5694537802647,645.6210142218267,650.4501377904686,6774925.0,0.2142848,BHARTIARTL
2022-06-10,663.60693359375,666.6621142141431,658.3343695154696,658.3343695154696,3221484.0,0.37142783999999995,BHARTIARTL
2022-06-13,661.5866088867188,663.6069343699179,648.4790653410773,650.5486553185967,5982102.0,0.49714227199999994,BHARTIARTL
2022-06-14,672.1810913085938,679.4247768529802,659.4184588130645,659.4184588130645,8878530.0,0.5977138175999999,BHARTIARTL
2022-06-15,672.2302856445312,675.0883479667982,663.7547479644359,672.0824921704855,6005970.0,0.47817105407999994,BHARTIARTL
2022-06-16,644.7340698242188,674.0043379177148,640.5948296636825,673.2158653903681,9525587.0,0.182536843264,BHARTIARTL
2022-06-17,634.3367919921875,652.1748717138072,628.7685200655973,646.508070788451,11085830.0,0.3460294746111999,BHARTIARTL
2022-06-20,631.6265258789062,638.0817386681466,625.0234594528401,635.6179124011077,3883001.0,0.07682357968895998,BHARTIARTL
2022-06-21,644.8325805664062,648.6269090028612,631.2322719826612,632.8090966887161,3515991.0,0.26145886375116795,BHARTIARTL
2022-06-22,633.5482788085938,640.9397578029478,632.168572154187,639.2150793709319,4348884.0,0.4091670910009343,BHARTIARTL
2022-06-23,650.6472778320312,654.9835761387757,638.377410516518,638.7716467953179,4336533.0,0.12733367280074748,BHARTIARTL
2022-06-24,661.488037109375,665.9229240474789,652.5196740988957,652.5196740988957,5621332.0,0.30186693824059796,BHARTIARTL
2022-06-27,674.0535888671875,677.0594448232648,661.4880751532186,665.2330789748236,5284297.0,0.4414935505924783,BHARTIARTL
2022-06-28,671.2941284179688,674.9898678165438,666.5142693712734,673.1173357937957,3216376.0,0.15319484047398269,BHARTIARTL
2022-06-29,677.8478393554688,679.1290169249537,665.2330614792994,667.204122402201,5011798.0,0.3225558723791861,BHARTIARTL
2022-06-30,675.0391235351562,681.5928652255512,669.1752050685867,679.8189223677002,6505666.0,0.45804469790334884,BHARTIARTL
2022-07-01,663.7055053710938,675.876782583968,656.3632913577864,674.9405166094377,4488771.0,0.5664357583226791,BHARTIARTL
2022-07-04,672.033203125,675.5810885005259,656.412510209972,660.7981325158316,4229588.0,0.6531486066581433,BHARTIARTL
2022-07-05,674.5463256835938,679.3261242851017,670.2099676611086,673.4129416100792,3494504.0,0.32251888532651474,BHARTIARTL
2022-07-06,683.908935546875,684.8944660944886,674.3000127076422,674.595659841524,4697006.0,0.4580151082612118,BHARTIARTL
2022-07-07,676.8623657226562,686.422024031749,675.5319235487974,681.9871365828719,3485283.0,0.5664120866089695,BHARTIARTL
2022-07-08,685.091552734375,686.5205238411029,676.7145434648284,678.0449855821296,2732170.0,0.2531296692871756,BHARTIARTL
2022-07-11,650.9921875,671.1462991146831,649.4153626935745,665.2331158625713,18687521.0,0.4025037354297405,BHARTIARTL
2022-07-12,653.40673828125,657.2503313907671,650.4501467053168,653.6531209125778,7416645.0,0.32200298834379243,BHARTIARTL
2022-07-13,634.1888427734375,660.3053996242473,631.7250166554365,660.3053996242473,12030163.0,0.057602390675033976,BHARTIARTL
2022-07-14,632.3656616210938,642.762996238025,619.6522942663958,640.5948171342461,11379990.0,0.24608191254002715,BHARTIARTL
2022-07-15,642.3687744140625,647.9863103516957,633.9425005836171,639.5600365212503,5567877.0,-0.003134469967978226,BHARTIARTL
2022-07-18,653.4559936523438,660.305442738013,639.7571556330141,647.4935460878725,8982417.0,0.19749242402561737,BHARTIARTL
2022-07-19,663.1635131835938,667.2041642682847,653.5052659337304,665.2331032217019,7836419.0,0.35799393922049383,BHARTIARTL
2022-07-20,660.946044921875,670.1607309110997,658.5314831992202,670.1607309110997,4458819.0,0.08639515137639514,BHARTIARTL
2022-07-21,668.5345458984375,670.1114306841705,661.4880393859567,661.7836864857803,3550107.0,0.26911612110111605,BHARTIARTL
2022-07-22,669.02734375,672.0332598421778,665.430193581339,669.8650807510357,2415220.0,0.21529289688089284,BHARTIARTL
2022-07-25,668.583984375,676.616022689099,666.7607166703167,670.1608092771994,2913348.0,0.37223431750471425,BHARTIARTL
